Entry #,Movie Title,Year,Cast and Crew,URL
1,The Ballad of Narayama,1958,"['Keisuke Kinoshita', 'Kinuyo Tanaka', 'Teiji Takahashi', 'Akira Kurosawa']",https://www.rogerebert.com/reviews/great-movie-the-ballad-of-narayama-1958
2,Monsieur Hire,1989,"['Patrice Leconte', 'Michel Blanc', 'Sandrine Bonnaire', 'Luc Thuillier', 'Georges Simenon', 'Jean Rochefort', 'Johnny Hallyday']",https://www.rogerebert.com/reviews/Monsieur-Hire
3,Veronika Voss,1982,"['Rainer Werner Fassbinder', 'Fred Astaire', 'Marlene Dietrich', 'Robert Krone', 'Armin Mueller-Stahl', 'Douglas Sirk']",https://www.rogerebert.com/reviews/great-movie-veronika-voss-1982
4,Spirit of the Beehive,1973,"['Boris Karloff', 'Ana Torrent', 'Victor Erice', 'Isabel Telleria', 'Charles Laughton', 'Luis Cuadrado', 'Carlos Saura']",https://www.rogerebert.com/reviews/great-movie-spirit-of-the-beehive-1973
5,Mulholland Drive,2001,"['David Lynch', 'Naomi Watts', 'Rita Hayworth']",https://www.rogerebert.com/reviews/great-movie-mulholland-dr-2001
6,The Life of Oharu,1952,"['Kenji Mizoguchi', 'Kinuyo Tanaka', 'Toshiro Mifune', 'Akira Kurosawa', 'Yasujiro Ozu']",https://www.rogerebert.com/reviews/great-movie-the-life-of-oharu-1952
7,Cleo from 5 to 7,1962,"['Agnes Varda', 'Jacques Demy', 'Corinne Marchand', 'Michel Legrand', 'Antoine Bourseiller', 'Pauline Kael']",https://www.rogerebert.com/reviews/great-movie-cleo-from-5-to-7-1962
8,Spirited Away,2002,[],https://www.rogerebert.com/reviews/great-movie-spirited-away-2002
9,The Pledge,2001,"['Sean Penn', 'Jack Nicholson', 'Patricia Clarkson', 'Del Toro', 'Aaron Eckhart', 'Harry Dean Stanton', 'Robin Wright', 'Helen Mirren', 'Vanessa Redgrave', 'Tom Noonan', ""Michael O'Keefe"", 'Mickey Rourke', 'Lois Smith', 'Sam Shepard', 'Chris Menges', 'David Morse', 'Viggo Mortensen', 'Anjelica Huston', 'Emile Hirsch', 'Vince Vaughn', 'Catherine Keener', 'Hal Holbrook', 'Marcia Gay Harden', 'William Hurt', 'Jena Malone', 'Kristen Stewart', 'Jon Krakauer']",https://www.rogerebert.com/reviews/great-movie-the-pledge-2001
10,French Cancan,1954,"['Jean Renoir', 'Jean Gabin', 'Ethel Merman']",https://www.rogerebert.com/reviews/great-movie-french-cancan-1954
11,La Collectionneuse,1967,"['Haydée Politoff', 'Patrick Bauchau', 'Barbet Schroeder', 'Nestor Almendros']",https://www.rogerebert.com/reviews/great-movie-la-collectionneuse-1967
12,La Ceremonie,1995,"['Isabelle Huppert', 'Sandrine Bonnaire', 'Jacqueline Bisset', 'Jean-Pierre Cassel', 'Virginie Ledoyen']",https://www.rogerebert.com/reviews/great-movie-la-ceremonie-1995
